Região,UF,IBGE,Município,População,Domicílios com a TRIA aplicada,Domicílios em risco de insegurança alimentar,% Domicílios em risco de insegurança alimentar,Pessoas em domicílios em risco de insegurança alimentar,Domicílios em risco de insegurança alimentar com pessoas com deficiência ,% de domicílios em risco de insegurança alimentar com pessoas com deficiência ,Domicílios em risco de insegurança alimentar com pessoas em situação de rua,% de domicílios em risco de insegurança alimentar com pessoas em situação de rua,Domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional,% de domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional,Domicílios em risco de insegurança alimentar com pessoas menores de 18 anos,% de domicílios em risco de insegurança alimentar com pessoas menores de 18 anos,Domicílios em risco de insegurança alimentar com RF respondente do sexo feminino,% de domicílios em risco de insegurança alimentar com RF respondente do sexo feminino,Domicílios em risco de insegurança alimentar com RF respondente do sexo masculino,% de domicílios em risco de insegurança alimentar com RF respondente do sexo masculino,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado pardo,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado pardo,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado branco,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado branco,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado amarelo,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado amarelo,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado preto,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado preto,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado indígena,% de domicílios em risco de insegurança alimentar com RF respondente autodeclarado indígena,Competência
NORDESTE,MA,210207.0,BOM LUGAR,12414.0,3616.0,215.0,5.9,800.0,37.0,17.2,0.0,0.0,2.0,0.9,132.0,61.4,84.0,44.9,103.0,55.1,157.0,84.0,16.0,8.6,0.0,0.0,14.0,7.5,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210210.0,BREJO,35322.0,9340.0,1877.0,20.1,7171.0,261.0,13.9,0.0,0.0,354.0,18.9,1144.0,60.9,1247.0,81.0,293.0,19.0,1388.0,90.1,90.0,5.8,1.0,0.1,61.0,4.0,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210215.0,BREJO DE AREIA,9387.0,2596.0,36.0,1.4,135.0,6.0,16.7,0.0,0.0,0.0,0.0,26.0,72.2,12.0,41.4,17.0,58.6,23.0,79.3,3.0,10.3,0.0,0.0,3.0,10.3,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210220.0,BURITI,30799.0,6461.0,1295.0,20.0,5210.0,163.0,12.6,0.0,0.0,142.0,11.0,860.0,66.4,829.0,75.8,264.0,24.1,998.0,91.3,68.0,6.2,0.0,0.0,27.0,2.5,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210230.0,BURITI BRAVO,22940.0,4100.0,464.0,11.3,1837.0,57.0,12.3,1.0,0.2,1.0,0.2,308.0,66.4,327.0,76.0,103.0,23.9,311.0,72.3,71.0,16.5,10.0,2.3,39.0,9.1,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210232.0,BURITICUPU,56896.0,16210.0,1918.0,11.8,6810.0,245.0,12.8,0.0,0.0,14.0,0.7,1235.0,64.4,1249.0,72.4,477.0,27.6,1423.0,82.4,186.0,10.8,13.0,0.8,103.0,6.0,1.0,0.1,nov/2023 a dez/2025
NORDESTE,MA,210235.0,BURITIRANA,13157.0,3310.0,231.0,7.0,789.0,40.0,17.3,0.0,0.0,3.0,1.3,138.0,59.7,156.0,77.2,46.0,22.8,153.0,75.7,33.0,16.3,0.0,0.0,16.0,7.9,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210237.0,CACHOEIRA GRANDE,10004.0,1744.0,791.0,45.4,2809.0,101.0,12.8,1.0,0.1,38.0,4.8,478.0,60.4,424.0,60.7,275.0,39.3,671.0,96.0,19.0,2.7,1.0,0.1,8.0,1.1,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210240.0,CAJAPIO,10342.0,2972.0,1279.0,43.0,4052.0,173.0,13.5,0.0,0.0,359.0,28.1,671.0,52.5,676.0,58.5,480.0,41.5,882.0,76.3,110.0,9.5,11.0,0.9,153.0,13.2,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210250.0,CAJARI,16711.0,2720.0,262.0,9.6,953.0,29.0,11.1,0.0,0.0,117.0,44.7,160.0,61.1,123.0,61.8,76.0,38.2,119.0,59.8,15.0,7.5,6.0,3.0,59.0,29.6,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210255.0,CAMPESTRE DO MARANHAO,12553.0,2040.0,269.0,13.2,958.0,34.0,12.6,0.0,0.0,0.0,0.0,186.0,69.1,182.0,83.9,35.0,16.1,196.0,90.3,17.0,7.8,0.0,0.0,4.0,1.8,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210260.0,CANDIDO MENDES,20413.0,5086.0,1957.0,38.5,6831.0,254.0,13.0,3.0,0.2,107.0,5.5,1224.0,62.5,1257.0,70.2,535.0,29.9,1506.0,84.0,161.0,9.0,5.0,0.3,120.0,6.7,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210270.0,CANTANHEDE,24976.0,4694.0,1854.0,39.5,6332.0,183.0,9.9,3.0,0.2,635.0,34.3,1057.0,57.0,1210.0,71.6,479.0,28.4,1596.0,94.5,53.0,3.1,1.0,0.1,39.0,2.3,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210275.0,CAPINZAL DO NORTE,11664.0,2623.0,284.0,10.8,1012.0,36.0,12.7,0.0,0.0,57.0,20.1,174.0,61.3,108.0,41.9,150.0,58.1,197.0,76.4,16.0,6.2,0.0,0.0,45.0,17.4,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210280.0,CAROLINA,24606.0,4098.0,96.0,2.3,267.0,16.0,16.7,0.0,0.0,0.0,0.0,56.0,58.3,73.0,79.3,19.0,20.6,74.0,80.4,11.0,12.0,2.0,2.2,5.0,5.4,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210290.0,CARUTAPERA,24855.0,7303.0,2445.0,33.5,9037.0,340.0,13.9,0.0,0.0,15.0,0.6,1511.0,61.8,1551.0,71.2,629.0,28.9,2032.0,93.2,94.0,4.3,2.0,0.1,52.0,2.4,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210300.0,CAXIAS,163428.0,42022.0,7503.0,17.9,27486.0,1177.0,15.7,0.0,0.0,143.0,1.9,4376.0,58.3,4851.0,72.8,1812.0,27.2,4832.0,72.5,655.0,9.8,89.0,1.3,1086.0,16.3,3.0,0.1,nov/2023 a dez/2025
NORDESTE,MA,210310.0,CEDRAL,10444.0,1235.0,170.0,13.8,552.0,60.0,35.3,0.0,0.0,53.0,31.2,88.0,51.8,92.0,61.3,58.0,38.7,109.0,72.7,14.0,9.3,2.0,1.3,25.0,16.7,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210312.0,CENTRAL DO MARANHAO,7233.0,1279.0,393.0,30.7,1191.0,67.0,17.0,0.0,0.0,103.0,26.2,191.0,48.6,223.0,58.8,156.0,41.2,245.0,64.6,27.0,7.1,1.0,0.3,106.0,28.0,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210315.0,CENTRO DO GUILHERME,12668.0,2585.0,539.0,20.9,2261.0,50.0,9.3,0.0,0.0,2.0,0.4,358.0,66.4,360.0,76.6,110.0,23.4,398.0,84.7,58.0,12.3,1.0,0.2,13.0,2.8,1.0,0.2,nov/2023 a dez/2025
NORDESTE,MA,210317.0,CENTRO NOVO DO MARANHAO,16529.0,4567.0,1002.0,21.9,3759.0,105.0,10.5,2.0,0.2,9.0,0.9,684.0,68.3,596.0,66.4,302.0,33.6,719.0,80.1,86.0,9.6,12.0,1.3,80.0,8.9,1.0,0.1,nov/2023 a dez/2025
NORDESTE,MA,210320.0,CHAPADINHA,84202.0,22485.0,2803.0,12.5,10249.0,389.0,13.9,1.0,0.0,112.0,4.0,1803.0,64.3,1720.0,75.5,557.0,24.5,2018.0,88.6,191.0,8.4,2.0,0.1,66.0,2.9,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210325.0,CIDELANDIA,13152.0,4091.0,1691.0,41.3,5512.0,235.0,13.9,0.0,0.0,95.0,5.6,931.0,55.1,1138.0,76.2,356.0,23.8,1047.0,70.1,307.0,20.6,2.0,0.1,138.0,9.2,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210330.0,CODO,118295.0,12587.0,4124.0,32.8,14330.0,498.0,12.1,15.0,0.4,52.0,1.3,2364.0,57.3,2308.0,64.7,1258.0,35.3,2746.0,77.0,309.0,8.7,9.0,0.2,503.0,14.1,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210340.0,COELHO NETO,42918.0,12703.0,3734.0,29.4,15166.0,426.0,11.4,4.0,0.1,96.0,2.6,2253.0,60.3,2236.0,79.0,594.0,21.0,2484.0,87.8,126.0,4.5,18.0,0.6,202.0,7.1,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210350.0,COLINAS,41745.0,8040.0,1231.0,15.3,4246.0,107.0,8.7,1.0,0.1,10.0,0.8,752.0,61.1,815.0,73.0,302.0,27.0,795.0,71.2,126.0,11.3,3.0,0.3,193.0,17.3,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210355.0,CONCEICAO DO LAGO-ACU,15264.0,3780.0,589.0,15.6,2150.0,140.0,23.8,0.0,0.0,67.0,11.4,361.0,61.3,419.0,77.3,123.0,22.7,383.0,70.7,79.0,14.6,2.0,0.4,78.0,14.4,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210360.0,COROATA,61351.0,15038.0,2549.0,17.0,7862.0,327.0,12.8,0.0,0.0,6.0,0.2,1333.0,52.3,1565.0,65.0,842.0,35.0,1830.0,76.0,382.0,15.9,3.0,0.1,193.0,8.0,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210370.0,CURURUPU,32608.0,6752.0,1617.0,23.9,5505.0,268.0,16.6,0.0,0.0,148.0,9.2,831.0,51.4,982.0,68.9,444.0,31.1,846.0,59.3,87.0,6.1,7.0,0.5,486.0,34.1,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210375.0,DAVINOPOLIS,14788.0,4253.0,686.0,16.1,2328.0,119.0,17.3,0.0,0.0,1.0,0.1,405.0,59.0,502.0,80.1,125.0,19.9,515.0,82.1,64.0,10.2,2.0,0.3,47.0,7.5,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210380.0,DOM PEDRO,23579.0,6487.0,706.0,10.9,2161.0,104.0,14.7,0.0,0.0,4.0,0.6,411.0,58.2,454.0,69.4,200.0,30.6,508.0,77.7,82.0,12.5,10.0,1.5,54.0,8.3,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210390.0,DUQUE BACELAR,10448.0,3763.0,250.0,6.6,1207.0,25.0,10.0,0.0,0.0,8.0,3.2,185.0,74.0,133.0,68.2,62.0,31.8,189.0,96.9,2.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210400.0,ESPERANTINOPOLIS,18725.0,5980.0,1867.0,31.2,6244.0,193.0,10.3,0.0,0.0,12.0,0.6,1042.0,55.8,1157.0,68.8,524.0,31.2,1316.0,78.3,260.0,15.5,9.0,0.5,96.0,5.7,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210405.0,ESTREITO,34353.0,7346.0,489.0,6.7,1756.0,81.0,16.6,0.0,0.0,22.0,4.5,305.0,62.4,290.0,69.4,128.0,30.6,339.0,81.1,45.0,10.8,11.0,2.6,23.0,5.5,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210407.0,FEIRA NOVA DO MARANHAO,8236.0,1891.0,136.0,7.2,479.0,36.0,26.5,0.0,0.0,0.0,0.0,69.0,50.7,88.0,76.5,27.0,23.5,111.0,96.5,3.0,2.6,0.0,0.0,1.0,0.9,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210408.0,FERNANDO FALCAO,11184.0,1112.0,50.0,4.5,187.0,6.0,12.0,0.0,0.0,1.0,2.0,32.0,64.0,14.0,33.3,28.0,66.7,33.0,78.6,5.0,11.9,0.0,0.0,3.0,7.1,1.0,2.4,nov/2023 a dez/2025
NORDESTE,MA,210409.0,FORMOSA DA SERRA NEGRA,18133.0,4770.0,353.0,7.4,1256.0,46.0,13.0,0.0,0.0,3.0,0.8,211.0,59.8,166.0,52.0,153.0,48.0,256.0,80.2,45.0,14.1,3.0,0.9,16.0,5.0,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210410.0,FORTALEZA DOS NOGUEIRAS,12951.0,3416.0,966.0,28.3,3210.0,107.0,11.1,0.0,0.0,9.0,0.9,590.0,61.1,732.0,81.3,168.0,18.7,671.0,74.6,99.0,11.0,10.0,1.1,122.0,13.6,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210420.0,FORTUNA,17346.0,5594.0,745.0,13.3,2867.0,90.0,12.1,2.0,0.3,5.0,0.7,515.0,69.1,407.0,62.9,240.0,37.1,561.0,86.7,57.0,8.8,0.0,0.0,29.0,4.5,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210430.0,GODOFREDO VIANA,10422.0,2541.0,972.0,38.3,3444.0,132.0,13.6,0.0,0.0,6.0,0.6,590.0,60.7,718.0,82.2,156.0,17.9,661.0,75.6,94.0,10.8,1.0,0.1,118.0,13.5,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210440.0,GONCALVES DIAS,17579.0,5206.0,386.0,7.4,1446.0,49.0,12.7,0.0,0.0,13.0,3.4,241.0,62.4,206.0,62.4,124.0,37.6,242.0,73.3,46.0,13.9,2.0,0.6,41.0,12.4,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210450.0,GOVERNADOR ARCHER,10472.0,2850.0,86.0,3.0,270.0,9.0,10.5,0.0,0.0,1.0,1.2,54.0,62.8,44.0,57.9,32.0,42.1,63.0,82.9,7.0,9.2,0.0,0.0,6.0,7.9,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210455.0,GOVERNADOR EDISON LOBAO,18908.0,5112.0,758.0,14.8,2663.0,130.0,17.2,2.0,0.3,1.0,0.1,491.0,64.8,498.0,73.9,176.0,26.1,553.0,82.0,89.0,13.2,4.0,0.6,28.0,4.2,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210460.0,GOVERNADOR EUGENIO BARROS,14258.0,4707.0,878.0,18.7,2947.0,142.0,16.2,1.0,0.1,4.0,0.5,504.0,57.4,592.0,77.1,176.0,22.9,656.0,85.4,58.0,7.5,7.0,0.9,50.0,6.5,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210462.0,GOVERNADOR LUIZ ROCHA,7219.0,1746.0,280.0,16.0,847.0,36.0,12.9,0.0,0.0,1.0,0.4,160.0,57.1,200.0,72.7,75.0,27.3,230.0,83.6,22.0,8.0,0.0,0.0,23.0,8.4,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210465.0,GOVERNADOR NEWTON BELLO,10981.0,2627.0,275.0,10.5,961.0,33.0,12.0,0.0,0.0,3.0,1.1,161.0,58.5,114.0,45.1,139.0,54.9,238.0,94.1,3.0,1.2,0.0,0.0,12.0,4.7,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210467.0,GOVERNADOR NUNES FREIRE,23563.0,5799.0,534.0,9.2,1991.0,95.0,17.8,2.0,0.4,5.0,0.9,344.0,64.4,357.0,79.9,90.0,20.1,365.0,81.7,60.0,13.4,6.0,1.3,16.0,3.6,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210470.0,GRACA ARANHA,6161.0,2093.0,351.0,16.8,1146.0,66.0,18.8,0.0,0.0,2.0,0.6,202.0,57.5,132.0,42.4,179.0,57.6,204.0,65.6,58.0,18.6,14.0,4.5,35.0,11.2,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210480.0,GRAJAU,76578.0,14802.0,2183.0,14.7,8609.0,273.0,12.5,1.0,0.0,94.0,4.3,1512.0,69.3,1530.0,82.1,333.0,17.9,1270.0,68.2,280.0,15.0,35.0,1.9,131.0,7.0,147.0,7.9,nov/2023 a dez/2025
NORDESTE,MA,210490.0,GUIMARAES,10470.0,813.0,145.0,17.8,474.0,37.0,25.5,0.0,0.0,88.0,60.7,78.0,53.8,85.0,62.5,51.0,37.5,51.0,37.5,2.0,1.5,0.0,0.0,82.0,60.3,1.0,0.7,nov/2023 a dez/2025
NORDESTE,MA,210500.0,HUMBERTO DE CAMPOS,26546.0,4974.0,1569.0,31.5,5720.0,227.0,14.5,0.0,0.0,34.0,2.2,924.0,58.9,767.0,55.6,613.0,44.4,1264.0,91.6,57.0,4.1,8.0,0.6,51.0,3.7,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210510.0,ICATU,25332.0,4458.0,1740.0,39.0,6166.0,283.0,16.3,2.0,0.1,74.0,4.3,979.0,56.3,1035.0,66.8,514.0,33.2,1412.0,91.2,32.0,2.1,2.0,0.1,103.0,6.7,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210515.0,IGARAPE DO MEIO,14350.0,3927.0,985.0,25.1,3871.0,211.0,21.4,2.0,0.2,17.0,1.7,678.0,68.8,681.0,81.1,159.0,18.9,645.0,76.8,78.0,9.3,1.0,0.1,117.0,13.9,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210520.0,IGARAPE GRANDE,10463.0,3754.0,240.0,6.4,897.0,51.0,21.2,0.0,0.0,1.0,0.4,140.0,58.3,127.0,61.4,80.0,38.6,141.0,68.1,33.0,15.9,1.0,0.5,32.0,15.5,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210530.0,IMPERATRIZ,285146.0,49335.0,3058.0,6.2,11184.0,368.0,12.0,4.0,0.1,20.0,0.7,1849.0,60.5,2001.0,76.8,605.0,23.2,1861.0,71.4,474.0,18.2,89.0,3.4,180.0,6.9,3.0,0.1,nov/2023 a dez/2025
NORDESTE,MA,210535.0,ITAIPAVA DO GRAJAU,14143.0,2190.0,162.0,7.4,612.0,13.0,8.0,2.0,1.2,3.0,1.9,106.0,65.4,85.0,66.9,42.0,33.1,115.0,90.5,7.0,5.5,0.0,0.0,5.0,3.9,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210540.0,ITAPECURU MIRIM,62269.0,20600.0,4526.0,22.0,16002.0,637.0,14.1,1.0,0.0,947.0,20.9,2640.0,58.3,2739.0,71.9,1072.0,28.1,3256.0,85.4,263.0,6.9,4.0,0.1,290.0,7.6,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210542.0,ITINGA DO MARANHAO,22934.0,6735.0,410.0,6.1,1411.0,41.0,10.0,0.0,0.0,2.0,0.5,261.0,63.7,238.0,68.8,108.0,31.2,248.0,71.7,53.0,15.3,2.0,0.6,42.0,12.1,1.0,0.3,nov/2023 a dez/2025
NORDESTE,MA,210545.0,JATOBA,7610.0,2612.0,1032.0,39.5,3310.0,111.0,10.8,0.0,0.0,3.0,0.3,601.0,58.2,517.0,54.1,439.0,45.9,728.0,76.2,101.0,10.6,45.0,4.7,83.0,8.7,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210547.0,JENIPAPO DOS VIEIRAS,17499.0,1352.0,98.0,7.2,320.0,5.0,5.1,0.0,0.0,2.0,2.0,52.0,53.1,49.0,54.4,41.0,45.6,77.0,85.6,8.0,8.9,1.0,1.1,2.0,2.2,2.0,2.2,nov/2023 a dez/2025
NORDESTE,MA,210550.0,JOAO LISBOA,25287.0,5780.0,354.0,6.1,1204.0,48.0,13.6,0.0,0.0,1.0,0.3,206.0,58.2,181.0,56.9,137.0,43.1,216.0,67.9,60.0,18.9,2.0,0.6,40.0,12.6,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210560.0,JOSELANDIA,15235.0,3876.0,1230.0,31.7,3987.0,105.0,8.5,0.0,0.0,9.0,0.7,734.0,59.7,876.0,78.3,243.0,21.7,888.0,79.4,145.0,13.0,12.0,1.1,74.0,6.6,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210565.0,JUNCO DO MARANHAO,5275.0,334.0,46.0,13.8,186.0,9.0,19.6,0.0,0.0,10.0,21.7,29.0,63.0,25.0,78.1,7.0,21.9,26.0,81.2,3.0,9.4,0.0,0.0,3.0,9.4,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210570.0,LAGO DA PEDRA,45875.0,10522.0,1204.0,11.4,4336.0,166.0,13.8,2.0,0.2,8.0,0.7,737.0,61.2,684.0,65.1,366.0,34.9,788.0,75.0,195.0,18.6,3.0,0.3,63.0,6.0,1.0,0.1,nov/2023 a dez/2025
NORDESTE,MA,210580.0,LAGO DO JUNCO,9700.0,2101.0,167.0,7.9,534.0,11.0,6.6,0.0,0.0,2.0,1.2,95.0,56.9,81.0,55.1,66.0,44.9,99.0,67.3,32.0,21.8,5.0,3.4,12.0,8.2,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210590.0,LAGO VERDE,15077.0,2903.0,655.0,22.6,2212.0,92.0,14.0,2.0,0.3,1.0,0.2,389.0,59.4,383.0,62.4,231.0,37.6,455.0,74.1,77.0,12.5,22.0,3.6,60.0,9.8,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210592.0,LAGOA DO MATO,10809.0,2910.0,110.0,3.8,442.0,12.0,10.9,0.0,0.0,3.0,2.7,73.0,66.4,48.0,52.8,43.0,47.2,72.0,79.1,14.0,15.4,1.0,1.1,4.0,4.4,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210594.0,LAGO DOS RODRIGUES,8961.0,2603.0,91.0,3.5,338.0,18.0,19.8,0.0,0.0,0.0,0.0,59.0,64.8,72.0,83.7,14.0,16.3,57.0,66.3,20.0,23.3,0.0,0.0,9.0,10.5,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210596.0,LAGOA GRANDE DO MARANHAO,11710.0,2538.0,277.0,10.9,1040.0,32.0,11.6,0.0,0.0,5.0,1.8,212.0,76.5,172.0,69.1,77.0,30.9,202.0,81.1,32.0,12.8,0.0,0.0,15.0,6.0,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210598.0,LAJEADO NOVO,7227.0,2224.0,150.0,6.7,469.0,19.0,12.7,0.0,0.0,1.0,0.7,92.0,61.3,78.0,56.5,60.0,43.5,117.0,84.8,18.0,13.0,0.0,0.0,3.0,2.2,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210600.0,LIMA CAMPOS,11558.0,4565.0,1453.0,31.8,4730.0,192.0,13.2,0.0,0.0,317.0,21.8,766.0,52.7,652.0,52.9,581.0,47.1,741.0,60.1,244.0,19.8,8.0,0.7,241.0,19.6,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210610.0,LORETO,11876.0,2488.0,121.0,4.9,472.0,14.0,11.6,0.0,0.0,0.0,0.0,82.0,67.8,97.0,86.6,15.0,13.4,80.0,71.4,18.0,16.1,0.0,0.0,14.0,12.5,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210620.0,LUIS DOMINGUES,7351.0,2309.0,569.0,24.6,2235.0,64.0,11.2,0.0,0.0,4.0,0.7,367.0,64.5,334.0,69.0,150.0,31.0,402.0,83.1,37.0,7.6,1.0,0.2,44.0,9.1,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210630.0,MAGALHAES DE ALMEIDA,14001.0,3933.0,187.0,4.8,637.0,22.0,11.8,0.0,0.0,1.0,0.5,104.0,55.6,119.0,71.3,48.0,28.7,111.0,66.5,48.0,28.7,0.0,0.0,8.0,4.8,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210632.0,MARACACUME,21686.0,5379.0,320.0,5.9,1320.0,42.0,13.1,0.0,0.0,4.0,1.2,232.0,72.5,193.0,79.1,51.0,20.9,197.0,80.7,23.0,9.4,1.0,0.4,23.0,9.4,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210635.0,MARAJA DO SENA,7165.0,1713.0,124.0,7.2,514.0,4.0,3.2,0.0,0.0,16.0,12.9,102.0,82.3,50.0,48.1,54.0,51.9,68.0,65.4,21.0,20.2,0.0,0.0,15.0,14.4,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210637.0,MARANHAOZINHO,14086.0,3264.0,2112.0,64.7,7161.0,165.0,7.8,0.0,0.0,8.0,0.4,1229.0,58.2,1020.0,51.5,960.0,48.5,1714.0,86.6,160.0,8.1,20.0,1.0,81.0,4.1,5.0,0.2,nov/2023 a dez/2025
NORDESTE,MA,210640.0,MATA ROMA,17537.0,5438.0,35.0,0.6,110.0,3.0,8.6,0.0,0.0,5.0,14.3,19.0,54.3,8.0,44.4,10.0,55.6,16.0,88.9,1.0,5.6,0.0,0.0,1.0,5.6,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210650.0,MATINHA,22530.0,6506.0,3328.0,51.2,10271.0,465.0,14.0,2.0,0.1,849.0,25.5,1726.0,51.9,1841.0,61.6,1149.0,38.4,2123.0,71.0,242.0,8.1,3.0,0.1,622.0,20.8,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210660.0,MATOES,33300.0,209.0,22.0,10.5,93.0,0.0,0.0,0.0,0.0,1.0,4.5,18.0,81.8,3.0,75.0,1.0,25.0,1.0,25.0,2.0,50.0,0.0,0.0,1.0,25.0,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210663.0,MATOES DO NORTE,17945.0,724.0,129.0,17.8,448.0,14.0,10.9,0.0,0.0,2.0,1.6,75.0,58.1,49.0,43.4,64.0,56.6,78.0,69.0,5.0,4.4,0.0,0.0,30.0,26.6,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210667.0,MILAGRES DO MARANHAO,9048.0,1643.0,290.0,17.7,1226.0,42.0,14.5,0.0,0.0,227.0,78.3,192.0,66.2,164.0,71.0,67.0,29.0,198.0,85.7,25.0,10.8,0.0,0.0,8.0,3.5,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210670.0,MIRADOR,21518.0,5370.0,331.0,6.2,1124.0,25.0,7.6,0.0,0.0,8.0,2.4,195.0,58.9,207.0,71.1,84.0,28.9,218.0,74.9,48.0,16.5,1.0,0.3,23.0,7.9,1.0,0.3,nov/2023 a dez/2025
NORDESTE,MA,210675.0,MIRANDA DO NORTE,24377.0,4511.0,573.0,12.7,2019.0,73.0,12.7,1.0,0.2,20.0,3.5,325.0,56.7,360.0,68.8,163.0,31.2,341.0,65.2,130.0,24.9,3.0,0.6,49.0,9.4,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210680.0,MIRINZAL,14297.0,1544.0,368.0,23.8,1141.0,62.0,16.8,1.0,0.3,108.0,29.3,202.0,54.9,241.0,67.1,118.0,32.9,241.0,67.1,28.0,7.8,0.0,0.0,90.0,25.1,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210690.0,MONCAO,28606.0,7683.0,2642.0,34.4,9752.0,361.0,13.7,0.0,0.0,467.0,17.7,1659.0,62.8,1523.0,65.4,806.0,34.6,1913.0,82.1,105.0,4.5,15.0,0.6,298.0,12.8,0.0,0.0,nov/2023 a dez/2025
NORDESTE,MA,210700.0,MONTES ALTOS,9309.0,2191.0,119.0,5.4,429.0,20.0,16.8,0.0,0.0,1.0,0.8,77.0,64.7,74.0,66.7,37.0,33.3,90.0,81.1,17.0,15.3,1.0,0.9,2.0,1.8,1.0,0.9,nov/2023 a dez/2025
